address,amount
juno1004ww0jddyw52vwvectmhpe0trtacjqfsft5e3,9595929
juno100de3kd0mys094dn6hhmdfnjdjmzacf7l4xdxq,4763381
juno100dqe7m64w3w2mcq2wz5kfvzjl6tc8vxln6euj,4797869
juno100jvtv7wrgngwnc8qw32at27hzgsjyhu9xn5ju,4750552
juno100qk2f338dh0r6g3tyw9tnvlywnjquye92ch0x,9601816
juno100xc9h8fdt7mws2d08had90mhrvnr0htq27y43,6877664
juno100xcnt5x5c6z98dr9pmmtmxpq7fzykx4ql4skq,13511923
juno100xf29g3qefuht3kscake5542kg9cerrjd92sk,10498517
juno100yn05uvyxwzyvf7kjs2w7xzlh7pe707454um0,4798457
juno102dc33cp05suarku4zj5t3ncelxakfn6t98st7,4978482
juno103008u05890r4uzs2j6cs3g03y8kd6jq0rnzwe,5139998
juno10392m7q8jnhnght4zj6pj9y42caay0fpz33hhm,11068572
juno103v3wy2qccy47jxvnsnxvj3r2lhxcfavdalc5n,20999262
juno103v94evax9cz8hh34zas830ln2lxmp63kjppej,8984289
juno103vagadrtdgmlqaz9g04yyv6qece64v5v5tmxt,5502173
juno103yxfyedzeuae9zrzmfrtjlhag9jc2sh9g8vk3,5586541
juno1040yzzm5pv2f28n9s5hlhhykndumz870sjezka,6154981
juno1046vlzf78q0tu4zvkjvyd24k0506a5r605eze8,6564170
juno10487rxhpghzhyudpnuh585hn4s54ruzsl54w7d,4882455
juno104m9eflexe9u7gphm39dl9fqmshzssumy8ew2a,7947306
juno104mh7qdutwx2zaf83mynjm8kklpj62cwm4uzjn,8894169
juno104ramkmx9hlrgwnde0mru5grffrnx8ytahr888,5520034
juno104rwsg694wnnma2wd34ayvgk0wwrr3t3j70u6v,5700552
juno104t0qtgstctpsw8g0e6pjpn3seztnwlyejjjgk,4906852
juno104zw5vpy68vfsh5g6wlmnt0htmu08y93hus5us,4852816
juno1052m8swy89e5wqxynhwg70e7l0cd9a9enmqc24,5725999
juno105363q3lf7ut63frthtnj6ugume3jjgez4rnvq,7610237
juno105399sk7fwr8sdqmhcutwreh6r28dkrj4uqvx8,5124455
juno1056m5lrmn5mdptmes38x4vzv234ss3alq4kea5,4759961
juno105856s9ukn4t2jvc39g9729dqezqrjcryree79,4971175
juno1058xlvsszm24j28zclntdr5tlneazaqaatpncf,10260994
juno105fvpcycrxlkzka6sdtmce8pp8rq8t6p3g9kwu,10460414
juno105g6rh8f2809c6ezj2adtqeyfhuq9rudnh8f2h,6215588
juno105usu05clhzc245eu3kvz5lsacxng0a8ahlv45,6736880
juno105v5kjh0cam9p4zdvqndxu5e3wuufgx7f06yky,5391393
juno105x4vjqqr5nslysfppsewjzt0w5ef62dd8frgh,9500920
juno1060t4vlql9ngh4jj4h67nsyu4lmljyd8lsq09w,9595929
juno1066aprw584yncwdadhqay9ptler9yjny56d34h,5569272
juno106cj2kqe9ypm8tfxqhas5ne49zszxycu98uw28,6264783
juno106j0y9xu8hylaqatcpjuara9e50yrwgehuyq3w,6850887
juno106r6j8jp6edr55pa5wv34etdc9gch5443crt54,8075782
juno106rrx88pr0k8zvxr5luza8cdpxex0vyejy34s7,7953159
juno106v0dgp92mwgerjph7aw84wwkutzuq4zdt9xtt,9738443
juno1075jj4x5qjsyz5zd7kj8kmzkev6xgc8al4fv4a,5558270
juno10774eymrfgp4hfdnc50qp3afxsjgpv5x59emy8,4990840
juno107dz744gc3vy8dgv23w8kup2cermcnf3v6hyvd,4787460
juno107el89lq3x9yljxxj0z5udkxy7z3clquclakqf,7125690
juno107kpgjtc6ctvgq5gv8wxp4pydvv6c8ml28lthj,4910856
juno107spl92cnse6fvfyyls4ckhhsk4e67vw0d5lh4,5287024
juno107sq67ems0zea9589qk6llug35s7l875c2m203,6270607
juno107v73h8l9pnfphj8sd02pa0dnrcq2nyf8mzyca,7725746
juno107x66k8lzvplpf70qshrrzt8fely84ch5awuan,4750831
juno10839jka6yklgyz2ympges3kmurhl32t3fyuxfq,7979674
juno1087hha53lek6evpkc4gxwyp590wcc4k6kvgqmk,5190769
juno108f59xe554xxcaa76kn76v4ezm5qcvkmy4xz4v,5499514
juno108ll2lhc4wp7grcqayccsk6j6llq4z6t5perv5,5347900
juno108mkzpvr8rjnnaxygqk9m5s678qs4wphnt7s0j,6285620
juno108pvkgt4yvrscqju02st3ac2nfs0r77xvlr6hk,5224310
juno108qgn3w3rfp76ss20u3rmcky4m52pgarrsvnje,10476621
juno108zg4sr2696f35ra97l7v5kmhklhlf8an7wp52,4849794
juno109079r3g7jscfgugp2cnvr3mqpt9n6ytznvnch,5165650
juno109g9m896ce63rv29ld52clgh54ktzagw3kvsh3,6442645
juno109hk6ncumf238646p8x6u9jvkq2p8zs69az6rp,5350772
juno109jutq7jyxqycls4fpn9shp9ep8370vyhgc92t,6376368
juno109k2ezkg8l5vmnr8d9d387w6ew2hq08ec446w3,5215985
juno109sp8qpmzx05x9j9603mlfvrx7u97ye6w7ttv5,5803851
juno109xcyf0yz9vf9jwwtw70yuapfl7z8j3gxn4qvz,4755210
juno109xpvduud0wwnm3458n4yyn53xgkj8sl38eys0,4755210
juno10a5eudqv8nwd6l60pxkd7hk3mpkdvkl3j9eudz,9217064
juno10a9t5he76y0up422htsjj0v6d50ar3tvscayx8,4751286
juno10ahemef4lk9mpedn5jr78vzvstcq0vk82wmrmg,12066169
juno10axgat7ld03gvegd3n3gky0w3d2m8c270ldafz,4955680
juno10axk8z8p766yt0j40lc59taupr9qnw5d47t63f,5002312
juno10c3w3cg00j9hy7hk3t2lpensncrxn6md9vreh6,9690938
juno10c79g2j55ht3qauq96x4qqgewdg8hdhqxgtutr,10320849
juno10c99uytqpr0k2wvhnqp6pslna58xwm5xfmm7z7,6982103
juno10cqm8myf6ddqpylh4hj48ehvyk7rczls3uysfu,15788254
juno10cwc3d6gh7a76y6n2358z3wmt6hdvd73hrn94u,11137741
juno10d3x3fyzkeart33kjvq4hk9qksjwumnm74fl58,10739926
juno10d7erfux9qc4hp0rcn3j8qnpct86rkhheln469,5335716
juno10datnnlcjmrdl37ka0g4u83chvxpfafmplpjf4,4750460
juno10dc2nxxlm2ejqcglwrty9da0jzdqma7kk0ydfd,6842892
juno10dck3q6p8xawshsphqwfjhe8jktwzdvvzgjndy,8601588
juno10ddk4ufj9d85edudl203j7lstkwks98dy6mwzq,6517549
juno10dked9hgduah27y0gljwjvaqd4x62cegzdz7ft,4927352
juno10dlpd495dvxgek3mvh5ra4gwmqd4rul0wskzld,7661954
juno10drcdmjnq098pwsh9nm7w0lem5zfywuufe0r2x,9539874
juno10dt0j5yafzl7fw7lhy7uzulwlfzggtxvy2kzfl,6924365
juno10dukz78udnjn9768z2x8nqzyl75enh998p2h9r,5161175
juno10dyryhlfuk87pc9vw3h02h0vr3uscfmswwv0fq,4933898
juno10eascez899uaw9m8zxp6v6p50jkwgkpyq2eny2,5447216
juno10ecr79adce2cxcqtpr063l0rn9qwvp7lj29yxu,4921476
juno10eezp9cy9ld8qvvyncla3e5p3hhsuxq323edj6,5794000
juno10egt9ncjav6fe9l5zay8z6drnshepxqluyxk39,10260994
juno10euawmvvt7fw4hdwh0nrk2rgez07zrax7zvf3q,9405911
juno10ewsfvur25reaqmj2lx2rymk56rghkyxqduaes,11944696
juno10f0ukg878v5rywgguewz7apczzvwqyaqxy3362,4766437
juno10f4x3qnwwvv02dwcxhur04y9646sgjysug44zl,6907428
juno10fhdy8zhepstpwsr9l4a8yxuyggqmpqxtlmugw,5155162
juno10fs6v6lxcg2knl6ts3f246hkysh8kuln70zuua,8446685
juno10fynvcsdwr462s3ctksc2y2fx8fuetxuf3ax0x,4755210
juno10gjkxyngzdc37qh8k6w585agkddq3wzdayguk4,4775213
juno10gk4wwzf6fm9rqyl4ujh9xqzfvjzsanaqx82qh,15660118
juno10gkcwjuhlh3dn9uw52h2yvktgz6g3ngxn7ecru,14251380
juno10gqgf69encdh68vr99jzsfjekd09scf43l5gwh,5134370
juno10gxw5gj9kaetr9wqds0jy6x7q6pyt252usykye,5282513
juno10h0unkwxdjv9et9ss329qh7dyj5ex94mqztecg,7800208
juno10hcnhrh2lka0svrpt686xumay28t8y69hfvuyw,4897804
juno10hfkkrnj4metfs74w4cjnavq35y3525kns009m,6077259
juno10hfp70p9nucq7grtmasskyut7qt9ezp0yuyu7y,12642934
juno10hg23wl72adrj5vxxfln63m4pu9vxhewhc3zan,10175485
juno10hlr6qlwjy0an9xsc9pfzadxsvpx25rsam570j,4773389
juno10htxrr2972urvzjxxxrar43k4jeac4chwlnx3g,6012073
juno10j0vnsyfpzlmqdszhpa4lv425kyetv76nlerke,4915898
juno10j22xamdknl4d0uqjvrze9zv4zatfp9l6g3nmc,4762443
juno10j4f9rlk7ytt9xznhr76zzzfj6g7ckppqqfv5m,9595929
juno10jdw4uq4msv7ss77ay02c5l0kvdhqydmt49uz5,4846419
juno10jnq3r962hk057nlm76f4ltnke7tvm4jgx632f,4985502
juno10jpu83d2wxgt84p2qhuklj6fe33hv7ucvw84nd,5060444
juno10jr0qvvulhvrzxwyqhqe5rddjqyav6fahwsr66,9975966
juno10jxducphn90d5yunvfemgehmfkchumu8zdsljv,10703530
juno10jy0hp329z6sa0rgdstgqx6njrlxv5nrk9jvxf,7125690
juno10jy3m6dxkh609k28y3nsave8r3z2nwzhn2kgfw,5130497
juno10k075gh8qhlmc342fa7jmwfj9977wmupkz6czg,5307611
juno10k29l9xksycj934wvu6j9zxx08cq2skrjg40g2,4779365
juno10kc0vrzw7kpt9j8y4juuef3a7lxhnexdzwvgdx,5605353
juno10kccu43rr34y6lpcg435nnm42pczu9mye24ewt,9423054
juno10kj5ym38z7u3u9uv2a20gh9hsdpkg4drt2z0qe,5229231
juno10kjuq40jmvn9rtcvnymmjs2rs3lc5c8ufw6e6p,14782442
juno10kp8fv660s44sch78th55p3vzzcu6jzhx6jkf4,4833085
juno10ksuhymchmhsnlns0s3rr945pvs8tv30l3yyg2,6294268
juno10kuz22ct479qhrw7x65zah7nwjlp8258g9nf24,20999262
juno10l5djwh0uewlw3hrmk26swl0lg6e7lw99s43x5,4838467
juno10l8ptmvnqsmume4lnl5r398ftkmzaz4q5z7y8v,9700358
juno10ldatdk6d8qscnhzwg764kttpmag83tlustku6,4892023
juno10lmwrtnhn8wcp32zzumjsuyndrvmnpaxxlpy54,18182430
juno10m8c8hhvpk2sck8e644pn827u9aa3adce54d2e,5080424
juno10md0ggnv8gg27dtw8tc8956pgqq4qq9zmw0lrv,10025360
juno10mk5plshrs5awppdemksa6fvmhgfkfrxtpaeh2,6069085
juno10mk7avkp8jf9fp8wfngsgpczjkhfhjvamnjdrq,10165984
juno10mqfp3g9g6ah26h59wnyx64fzeupds2kf2sc22,10540192
juno10mr9d2awn0veqgns860837rd0l4c5nyrguhlzx,9975966
juno10myu4h4774n7clc7647rgwpqcqe6kmw56uwgnq,7026974
juno10n3xr9hm4fc3e2hxexudhe4ertfyg8wxt9t4h0,12358322
juno10nf940t5jntcf0xj5q5gr35lpj26sthcms67zm,14320008
juno10nfkc4gn9fsy6y5qgj2xf5d682hh7w2qgyzj7l,10926058
juno10p3vyek7lcx0kry6gh86dvdx62k02c6kllyuhy,5257981
juno10p88nwkc8sps7p4wgv9w6zmuwercuhphvwqgf9,4759628
juno10p99t0zxlu5vluqnxmj7x3hnvfxht0mu5f0ts2,5435160
juno10pej5pyxlytu2at3rfvjh89c2k3pranndykmac,7607040
juno10pjj5ye6spe7vgqcph2exm2pcx4m5gv9yldz89,5035487
juno10prr54chhcgt9yr8vxf8csrfwjvtvggd92v7tn,5770984
juno10pvepw84a4cqnhssahdd8yc6kyhwr4gyc7uanp,5584767
juno10q0g7zddn6zu6qa2l2y52pk39nn5sjx2wfy4q3,17949139
juno10q0vwkwcftr24yde5lpukfry87qkn8gf5w3uuj,4854951
juno10qchstu6d50wr828tk2c9mdjww6zy9ywxthq2z,6865949
juno10qk89res494fyzfe52majja4kqq05k2e584huh,5320515
juno10qkfwk99aa2dnf2603hymgsvlx5z7fn0nzruq5,8654704
juno10qqc9glt55x8myra59d8vxvfphlh2kk6lh6kr7,7217011
juno10qqgngpf9yhz25qm4mxcmsp92r5u3k8nr0y0e3,6123343
juno10qr2mdwxvpqcrq2daewqrxqyt5e3j2hlrltqdt,6878910
juno10qsrwygnwrwfnz5npmvjd3namy4dadgk5dj3pa,4750591
juno10qx6exw78nae3l3andvsz8gm2g4m8pkrlusjx6,4764816
juno10qxwr3ngc3ydr6fx6ph3l0a6sqvn2f09acjt08,5152011
juno10qylav0a386nmjxvzng5uaz8vq6xxswrl5485x,5710053
juno10r2094txvvqju70f882fg4s9zanjrn8umpecvq,5396796
juno10r60tyj53t2h8dk00ufe9e4rvug0v0pw7aq3sr,8598333
juno10r72d93uwd4ugeyatdrrvufeq80vrex6n2yex2,10091574
juno10ramtpjevxutxfmw7mq8chpsx6puelcsrh4ale,6188593
juno10rcsanmer94u4x3wztw4pdhhnvwk75gs3wt88h,7196990
juno10rg89xa7lt0fffekurga4tmj6j3rzafxpdgckt,8439315
juno10rnscc2t820netc7mgysvrvp0l5hwf2vwwsr5a,6088304
juno10rtrst36pjlykugxg54ysqacrqt5998zlqvu2d,4756065
juno10ruj44hlyjkn75uz9fpkdeyh4l3zs83xwt2qcn,7420743
juno10rxcekgu574ahvpjgzk4llmlapy0dcpwvht3qd,4837389
juno10s3h44uygq2utppn7gyn84l5pcu87nexmh79l8,17001897
juno10s44pg475cxrpkep3wellty5hg8tp42fyvdzgu,9510426
juno10s7r2vukwfd0kwmzqcugen345s6pe69f7n0cjl,4778963
