Address,dragon_count,Balance
juno1zqztj8manrpanh4mlzuscqxxq7srq6rx4tfhpp,29,148447
juno1e8e2pddzh60kky0f9qs4ngvyjxus9pgwkhckux,7,30852
juno1rhl35p5yvh065tekyrw94gkeh682xj7kyw0489,1,15800
juno134j3uyc732k35zwdxfz3ry20zseq573fpras0v,2,15522
juno1rq98esw4lgcekya6yyksktrppcwe2hhclpt3kz,31,43363
juno15zzn0mann5cpzen4gczsuxktgudyja7qu2ttj2,54,49573
juno1hdskrythy2yk2ergcyprnnmugzdju6avk3ntn8,22,14873
juno1g5jsxaejtrj5vpxwe80x23t2c6kpandag5uhea,8,19198
juno1swthy6su2lpj5yazckjn023cr8w45x8yn00pnw,1729,340282
juno1cq6mkp5530w2dyjp3pjma2szue4tuz7xu8q7uj,1465,351119
juno14y4jfkpvga84w88wm6lget9c6fv4gcxjc3yjz7,13,37852
juno1quxpchv7r5r9n5qc9cahfxw5he9daz4p2mnk80,8,21469
juno1x5xlh8fhnnmuz6qa0mvx4823wzu2hg4hhvx3n3,1,4606
juno1wqxcv6h33x9keftayqlzxed9cysfrarrvygm0y,1,4125
juno1jnf3r3g7hcg7hnpeze6su2gs3s57jdv27gfgr5,4,6361
juno1c78th8v07usdu4fvxt9uvr4sw6hpzh0d2w5vyl,18,45975
juno13g9aza50mtj8urmgadqr26678ppt29prewdjg2,5,17704
juno1nhkm9qua5zdfy38xd79xdcmmjr8gen45823ue3,23,13538
juno1c84vfnsz7futvraup0mf2ascx7mvq2jvj767kr,8,12635
juno1jwlwf8sssf8vcgvskfze266c7au742jt38exts,4,9716
juno1p0vh6x8mle55sfyapv6med86ga8r4w4xsxkwst,4,11358
juno1upnfagkz2fe98zxvhgwl89ry5c2g4fdr5lk2kd,5,15142
juno1dql3l6hf0tgc994uz5n9ncpf3ar05zczpzmj2c,23,19516
juno1xt2s8z7m5pkrct557z7d9qs0g0wfslsz9ruw7f,14,3934
juno10dlc92rzp2l3eh5nt2hmmqackt9h4ffwgl9zeg,2,3717
juno134ps9kwz8z3qnam0rg096e878l39arh0g3v9fs,10,19075
juno15zsdeden0nr59su6t3mhcs8ueua3wxppx3chty,17,20670
juno16s8t5gwz0y26uag0fvu0l3p7ruww3mn6jkw8fv,12,23950
juno18u6d3jc60ed7y0fjstw07d8vcp7z3nwt2qewrs,4,6694
juno19p74u3qm6v980n5wwwr8wkfwlvljj0m08wln5l,4,5879
juno1rm5gzhcv2y9eqls2003qalgxkg5uwf048ywjxy,2,3582
juno1na7674d0ypgyv7zssdv4eec2dvn0gcgertm5xr,32,22460
juno1gst5ysqm8k9rvn88z7lr3qmvxn7jx37d8ptqqp,19,8130
juno19up75r6jcyrewr5y6u5zfrpme9l5zxwm3qycgr,1,3510
juno1mn0642a3nh7ng0pwtk5rxqmhuz9yk08mer0pyj,3,3713
juno1hxntfdnutduqf7qm8aexj9me9eva3uzu9ls2e3,2,6865
juno1vtpt9kwjywm3xpake4v8sjmh2uxqq57hrhxm6g,3,6050
juno1tgtnfne3scr46rmr03ktvq33kadu9m5wq66hnv,24,15598
juno1lvrgkxm0gzvsh2ruve02k3tq3dv3fce3r64mpg,11,4713
juno1nu4hw50vzzjay0wxfvylsmgl2a9f00chyzughn,1,3396
juno1cd8kr3sff6r0jy6qlwxzknp43p0mkhek8nafg4,4,10651
juno1ls9c74cy8ylaa7lcphj5ref4mcw260ujd28lyd,2,4693
juno1la3ua2rjl6tvwk040hrc0z0jns4zj2e30ykkp2,8,18692
juno1hz2ua3kf7znypfhvau38xwr2gz38cp6ppdh5ms,9,6163
juno1c424mkaz83wzn4m07prvfugj8t5ucmy3864sph,4,4744
juno13h5ymcgk54s3cdhglpdl8de0lwz9sqk8xc5a9l,8,16835
juno1lv3gfe6psrq5mt28vvq3qnl8zsml3zlpu8mz3r,3,4023
juno1hslw9dcn5x6pry3u8gzgn4ytsqn83quvt0c5wk,8,9907
juno1p9gtv565gqsehk27245xffu7h5tch8ckxcfx2z,12,4465
juno1raa6we20tqw5jqarqjd5zwj8e9gu9rs6wx7ark,24,3690
juno1da7fynhvu2tmx54z0aaakrqdu82sd9h589xhy7,3,8828
juno1l46qhgucfdk4lkc6kgjhfp63dsn4awarrn7e2s,15,9279
juno1wmveq4g8g2fft8dnxz3uezrpg6483jzkxvuqkw,4,10441
juno1tgvqw8s2ausjavwq09aq80ufq3jvkejanyw4s6,1,3208
juno12jyj9nvugxkkgg0l7gkc4n92pzwv9wqz8lnxmv,3,3976
juno13tky50x8huusfkqvd5aafgjrgtpp44rjf89cww,4,3963
juno1cmdme4n6k8yav7z0al356n7zvnx0zhpz22pz7h,4,3255
juno1qm9q5lcutcvdah6qh5eefzapcnhas9vmukaq8c,1,3241
juno1naateuyjvgxtrjsx00utvf4zcm65q40mh8qwtf,6,6342
juno1ynlhr53avaxgrrwyaeeyl3x3a54lm953245luk,6,6330
juno1gm9stluhw4xklwyv5kwx9v3veqsm2uq9x22f6f,29,24752
juno17elel5uvz940ygcdrp7hda8mph5sc564v9xt5d,18,5508
juno169wtfrlwcjtfksheg7gznxk5s0zp3ethxncy23,3,5773
juno17egl2ke2c39789tv39mud9vwwwjrsyaxwq0lsv,21,9942
juno1r7vu869y33hrs03k9h8mczsfw2fgw3d4lvtaky,7,3227
juno1fakuy9dm78lquld6ppheqpnqcyyf3n5avf5pr3,3,5620
juno1xvlegj20k0m2yul3vn7nkrjcmw62sz7lax8mh6,2,3114
juno1u5s6uyk49j3693t56etjtgjgnws7xsuaee7583,3,6910
juno1mzfrhyp2cp8qygwqkpwk7yjmj0h6em8l8yv3qa,4,3576
juno1qx02f8hmml2yydnz7qksa97fu0cw93ptkqqg2k,1,3010
juno1tppnlpre9623ccpr5a6yea208ntsrygnq008ch,4,8643
juno1v6eyyvqltyyn28vcx5wrv5artueq6atzclgvju,12,23628
juno1uflzstk0vm6cfh7qq7e02sxvav4jtmfut8us7p,16,10753
juno1yc6tdz2cevl277vkjjxw49pkug8velwcd59znl,6,4041
juno1snkq7u6rz0f8l7wmderlzv0dk222j9xcdv3jnf,4,3473
juno1yqx82ljvt7m23x9f39t5v4000q3nuggw9mryud,1,3030
juno1ntdd7mj8watlw5r09r06vv2m6rxqjzca59zsax,6,14226
juno1pcnahtrlk6s989jvrnr8yn8ysmnt8ghs38jnhw,2,3024
juno1g2xwrvr5zd37vcmydc5y4dz6s8qw04ctwvcwsm,8,3193
juno10rdut36lnhsrudd3t4zqqgpvrmxam4lel2qmnx,15,3393
juno1fjp4xqn27508fqd3xql7hw4phwtdymdp5ruerc,3,8416
