Address,Balance
juno100d4eyphlr8tjdstpk8t3dtksf5k474e7jt90z,0.001026
juno100fjd4fgvavlevh44wqtfl8e46ryyzmhy0gkqj,0.1
juno100qenzax3um0ku4swx6atz5ng8ac7lavudneyv,0.001025
juno100y2dgjmdr3vs4qpv5jgqvcyxtwlpl0ag0nmmu,4
juno102322hvactcvczu3hxj467phewcjwv7rjgwmdd,1
juno10394355uak9czzqmgedmsfyt9gzd0jlpl6eq2c,1
juno103hn5wdhau9ly968z7n3a9360v7gw9v9d0vmsp,0.516113
juno103verdnv4pzztty50ua7gs5gj25l2gwu0msyxy,0.001376
juno1040yzzm5pv2f28n9s5hlhhykndumz870sjezka,1.15874
juno1046vlzf78q0tu4zvkjvyd24k0506a5r605eze8,1
juno1049ye8lese3s2a6rr2quh3des6pynmqpnhp48p,18.693592
juno104tlrtp7642rgx5nhqnfrp3y943daepgqlw066,1
juno1056cqeqqqr8kxdrpgkxx4z8w7xh0d5krhsdkmh,1.303341
juno105dn07fhtjkp4s9ewzzywxcj7mhqdqclpgtk6q,0.001096
juno105lupzfsu4k9hmv58zepejvegj3hp5wvnfmq9j,0.001026
juno106nggytu67ag5kxzyu6mwdtphncsewvcdw9x4k,0.00108
juno107n2nf7fx4mx553dpngpevtpck68rnxapzersp,0.001067
juno107tn5s5nsznzvczjf76qhsq2fwwe6j9zvkn5r0,10.012425
juno1082q0w0avzvgzvzwkz3hvj2xavycdfnvjh29j3,0.5
juno108f59xe554xxcaa76kn76v4ezm5qcvkmy4xz4v,1.0001
juno108rqwjaffph0lvdyd7fc7tpnrx4n8h4r8wujly,0.512334
juno108y4auaga8lcsvgnpjkfsy0ksm2qzzsc98k42r,1.000897
juno10adt72q3vnqsr8cazcpzjk2y5sg2ujw3yzh085,0.000047
juno10ahemef4lk9mpedn5jr78vzvstcq0vk82wmrmg,1.101449
juno10ahh3k4czgrd6mdr6ak99srff4nkjepx655xcj,1
juno10axk8z8p766yt0j40lc59taupr9qnw5d47t63f,0.55
juno10ay2aezex70xthzvzaz7x0qkl9jmnce52y0ylv,1.01
juno10azrzn45u47n7m07vs4tntsrq5wchgc9ru665x,0.306832
juno10cye0k9guw0yp5e7769cxs676nzk29wc7fpn8e,2.564403
juno10d3thvhar0h67cqxh89xj5dr3h7s8rua8nppd2,0.5
juno10drcdmjnq098pwsh9nm7w0lem5zfywuufe0r2x,0.501
juno10edakz42240kk556dyl9v6q2n5ev27r49mngew,0.001055
juno10f3x8crzvv0pgy70ytwjcgxxv57luc9eytmd32,0.5
juno10fdwe698fl5jfuq38lh6tgs0f0jp9uakpk0r0t,0.5
juno10fsj7gt3lgwcxhl6gve9z5u2d25kma44pt5nrn,3
juno10h4lk6gxzs6amemqt9uenep3utaqqmey2e0386,1
juno10h70yf335v3n0ahkm95qwrx6l2tnfhcrhjqm9t,1.01
juno10hfp70p9nucq7grtmasskyut7qt9ezp0yuyu7y,0.147476
juno10hxgp4uzncgjxgrs2wxe70lak3rgzlpd6xav4u,0.25
juno10j27mjxv706lkvmw8ewpcwa8ajp3srmju6vgkq,1.01208
juno10j4f9rlk7ytt9xznhr76zzzfj6g7ckppqqfv5m,1.5
juno10j9a6a65alsu0c9h83l6l39kllkq84mzn0fvcm,1
juno10jm8fvdyqlj78w0j5nawc76wsn4pqmdxvusln3,20
juno10ka033a6vx803h7hd4mfe3l8ky0txwcq64rfuu,0.303526
juno10lcueka7tzjfcx0xcenq5jq8345vspcr8z4jja,1
juno10lsjtrjwyeq29daqczlumr25k7c0zpu5q4cv48,1
juno10m0k4a3tudk6mglc9nez5w9yjvgkk9kuecl8jt,14
juno10mj2shktq3jx9qq6j0uctgvt2kg3w75m5h42k8,1
