Address,Balance
juno102qk6946cweqm678a0da7e5vusglvhrn5zqe3u,35
juno103l025fw2x7d8k8px7d07vu667x0h5p56mnveh,1
juno103rqha0kps4kl9wr0lzqcjahfp3p6d5uwypl90,21.519126
juno103vagadrtdgmlqaz9g04yyv6qece64v5v5tmxt,1
juno103verdnv4pzztty50ua7gs5gj25l2gwu0msyxy,34.215113
juno1049ye8lese3s2a6rr2quh3des6pynmqpnhp48p,35.17767
juno104mh7qdutwx2zaf83mynjm8kklpj62cwm4uzjn,35
juno106v0dgp92mwgerjph7aw84wwkutzuq4zdt9xtt,25
juno107kpgjtc6ctvgq5gv8wxp4pydvv6c8ml28lthj,35.17767
juno107tn5s5nsznzvczjf76qhsq2fwwe6j9zvkn5r0,200
juno108yw43as5l6gchwx8f6xa2d9zce45gw050c7ke,20
juno109as32auw8xdurf72gclyk26ulml297k9x6qf2,101
juno10a29hu7chl55ar4wsyjueqxc7smudpvrs3rjam,420.69
juno10ap9s20f6gtke8rtg85wnf8qgha2nx72nnlk4m,1.1
juno10awfv0z70w26ayyxgxrjd5n40guygzq43x2f2x,34
juno10cd32jmmaas7q33e9cwgjj53r52005hqdgekry,5
juno10cetn8mfs2t90w4mc3jy30rrgdtz28nw9s5xwh,30.055661
juno10d3thvhar0h67cqxh89xj5dr3h7s8rua8nppd2,20.639874
juno10datnnlcjmrdl37ka0g4u83chvxpfafmplpjf4,26.383252
juno10dh2ggxsettmqylgvcteue8uq0zz69fekv8gks,30.17767
juno10gwwfj39ewa853032k5cwmvwkw22wmetrclzg5,5
juno10h70yf335v3n0ahkm95qwrx6l2tnfhcrhjqm9t,10
juno10j805w37k8nzdylcyy87p3aq4264pdmsr4a5sc,20
juno10jcd94dw9w2txv3f8xgd3cslz5s3cqu0u9l573,5
juno10jke06yz08nzkqj5vhk97yuhktjdmvk8jje4lq,35.17767
juno10ka033a6vx803h7hd4mfe3l8ky0txwcq64rfuu,17.25391
juno10lsjtrjwyeq29daqczlumr25k7c0zpu5q4cv48,39
juno10m0k4a3tudk6mglc9nez5w9yjvgkk9kuecl8jt,55
juno10n4lwkks9ecu6flr77erpje8rjeg5dfn58cyv9,20
juno10nszvpnn83hq9lmlhs73p8mfx0wgwnz9zl3vk6,35.403658
juno10py3wm5eatgw8p3qmuzxq0cht5qfq8tmc9l9xm,144.181776
juno10r39fueph9fq7a6lgswu4zdsg8t3gxlq670lt0,0.5
juno10r72d93uwd4ugeyatdrrvufeq80vrex6n2yex2,35.17767
juno10rdut36lnhsrudd3t4zqqgpvrmxam4lel2qmnx,35.17767
juno10srx5z6kechcm3wdldepxza0ccuzc9rk4mgznr,11.409554
juno10tqg38ajd8va7ytwmttl7csk9ug6vlfl5wgqut,35.17767
juno10u24rwqfxl48rshaasextp5a25gejuzaj0sc4n,19
juno10u8c8kemnmp6smxqak40dhsf2z3uuyray8rmhd,35
juno10udv3u24d4qpfdfftx39qw34qj4n2ejcxk0qag,50.155605
juno10ufkg6c7qg40n4a5kjg4tf20xxzm7j45we2dgl,20
juno10ufvja58kdfyy9pljwamnfcpprl30y3hyyzv6a,1
juno10utwkr55h3au5uamlwfmje84na4edxyqndjv5r,20
juno10vvdsmu84g37nfx9p8k898k3tqqs5kkcnhs7cm,35.17767
juno10w9nskqua7fr5q7g7jvl5ygttdcqszmjzj6p3k,181.941201
juno10wv9mds80emehq3q0qrcvr5ssz8zwhheedhlts,20
juno10ytshxfl8d2yg706dsqqxpndgvugyts2tg2qt9,42.489848
juno10zkjx462sg79lzeqg4pg00qncyvjg76ws62372,10.160785
juno10zw3pyaw7wu5ags8ejn2wqrju7jyl9k3x049ja,35.17767
juno120dzrerwrkyg2twh5rpkr6uxqtkxrz7cq59tq4,1095.010127
juno120n7mredre8rfzahvstcdk74xl2ppq2f3j9v0u,19.5
juno122hjrmj8k2f0lc0m8nepdysgx9f2gan2v6hmqj,1.454912
juno1242l37paupq0fxcqd8cvnth5x6s6gcczsju9ck,25.77141
juno12736ed7frh0uxwv2tm29qz8v30fe03kqg3928k,1
juno127syd36f280zgtlhqcyldwnpxv0fa9kls9g40l,1.256927
juno127wa7qhv35v8u8f4ch9n54cynuyjy50lqnmwp9,6
juno127yusg0086xkzagduxtlfy5lvep6h2h7a38hqa,35.766051
juno129e3qxxmudkwuj5nnt0kma5ryz4ccaa5c2du0q,43.234248
juno12dnv539p9umh6ze2jpn8n57frlsads3dvklf9n,34
juno12e4cr5w807csadkfytk3fep8kdhcv6x2au63q0,15.17767
juno12e7ptnnn9cp48axz0s2wh5suumh8zfu4c099zp,39.649951
juno12edhat8859a0m5p86twpn5caax0f3jpcywzjzn,10
juno12fjv4krxcea5zukmrddgzcu63yhx9hgpsm7yu5,2.17767
juno12g8caymr4c52ytaqre253zd42h8e42493l6pk3,39
