Address,NFT Count
juno1r2dzhqal8u39ut64twvvql0hhwcvnla77wme58,3770
juno1uwenqayqm823g33nxnzguhtytq8erc48yw2hwz,1
juno1l0r6vucw0yfsdqw2pv6hzwky2hzhwrddmfl2ye,20
juno1dr3rfcl07tuyz8zq75slz86sdwrnfjmx3u3ycn,6
juno13kkj0w7t5ae3nlh79wml350un4vv55dfxyaat0,13
juno10atyyxcjgfxp0p5tpktuhxxlg0hk4mju0zy4tn,3
juno1qjshq70dfxfjpr7uwj3y73fe699c5smy99j6la,8
juno1zn5vg3h3qrh3yjg009cxpsmmlz8q8vsx4ydqc5,8
juno1vvqnn4fwt2prnw7wrd7q8rsmh85wq8s7lla4tl,1
juno1nhzfpguplcmtdxv67pjt2ptjj2qz53z2ncjp9a,6
juno10m6c487x7yt87uyrn94tpkeng3ulqpvd4f6kn2,26
juno1hje9p7cuennyzcfj7uu8rcft9wfhpkyz2xyjnt,1
juno1j6yw6aldlctpaz2na3awsnexle3a8k6z9g3cec,4
juno15kzerjgs7vf9k507c03r47yr8kmjcmesyvsdsy,38
juno1kdlee79ymep5pp6dlg30c7y9z76kyavglvyjza,1
juno1z35x9dzrsgc0fzg2j3dp35jtjr0ytd447ypq2y,21
juno10a29hu7chl55ar4wsyjueqxc7smudpvrs3rjam,2
juno1cnmcep69lqvmxjqlncc7lkg2we6g0qtp3jqqs8,1
juno1dle77rsmmk4fqqc2267n4szeulqmxy4gx9swuk,2
juno1yfy82r2tkxqy58jsfuezffx2e5wwstksn0djdp,2
juno1evjghzuuf82w465pz47yl3sy6v8xs6x5fkpmma,9
juno1v70kygk2fjxej9hna633k23e59vq6larhu4dl3,20
juno1jtyycwvdr09m955lawcmn8dypxuccp95fhleks,16
juno1zjjqxfqm33tz27phd0z4jyg53fv0yq7mntpjn5,2
juno18awuj7uqk40dydl8c0cdlfhea3a7a4p64t4fzr,1
juno1uqaaqkc4jxhxf7qm357qce2xdaljkh07x5xph7,2
juno1feg3kdcsdgkzsg7l3usgh6t7vltgk26fjuzchz,4
juno1uz07k6e0txmv3agfczp4yqm7zsl32fkw4qahxz,2
juno1wa5gfddhsypr6uyr4vs57tdnzljzvvjg444gfl,4
juno1gs99z7kxfmaelzvkll4h38dvqdm0u09whee6tc,1
juno15mrhm6a045sp7mnvj9lr8nyq85ncgl7ajvsk39,7
juno1y3z5m7avne6va34uxuqsf8s2fkmxz5zhwpgna0,26
juno1y7lwjgl9aunjaj0skfej9gx04f3rpz8z2fastm,1
juno10kkqsa8qy6dyhxtgmglmuc2336uandcctgsjxk,5
juno1zxk9h3434pgwc69k6mvmawmkhc97zruc3vtc05,3
juno18z46wxwvws0egx2gy6neza9x2x5kc5nct0zjy8,7
juno12wdcv2lm6uhyh5f6ytjvh2nlkukrmkdkzymxdv,3
juno1vtvrpyk7snck7kv8cfmvxms3thqkua2706djjl,9
juno1mzx3vksc849ee8wjkx5pndd069vmvxn0ak0xrs,1
juno1sg5ldx84teff2c6ypanpav38xaxfny52epm7f2,2
juno15hyr8az8yg0jk2f00y97zryz27q9wax6qjtqfg,2
juno16nmlkzdem2c66w48yrjeslcqwpc8w700ys3366,1
juno1vej0xzhxgrssj43s45qfsq56k3p628073nrpct,3
juno1earntcqvuz0jmdx4jkeuff2myxthphkpktgwky,1
juno1aekcc7v4c6vxvcx5njmer68y8rrln7jxl75raa,1
juno1m74zj2duq6aqunjz4syec6wtquxygrkpm5e0l4,4
juno1apz4zgkkyqwaka6ya4sufustl9xj5s4sea2y3a,2
juno1ysunnmn0sn4xpa2y4vhwzmpt5fz47rkv247rpa,2
juno1m806kg5093nqhuxnfkjpu7v7g7pcr7ya2dq65m,4
juno1tyj3ls8w296a2pjn3ysyrjf9v0q0gfjyq364uc,1
